店铺名称,类别,评分,所在区,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
老家饭店,湘菜,3,南海,壹品广场,23.025258,113.157012,南海区东二大道74号,3-4人餐88元;,,15889600615,0,,"水煮草鱼,香辣虾,酸辣鸡杂"
爱客多面包店(罗村店),蛋糕,3,南海,罗村,23.059131,113.051119,南海区罗湖一路与南湖一路交口西30米路南,78元蛋糕9选1，88元蛋糕3选1，98元蛋糕9选1，108元蛋糕3选1，冰激凌蛋糕128元，冰激凌蛋糕168元;,,15302316553,0,爱客多蛋糕店创始人吕生是位蛋糕专业师傅，曾经在北京服务多家高级西饼，制作蛋糕方面一直都是精益求精，制作出来的蛋糕总是那么的精美，味道更是让人回味无穷。蛋糕代表着幸福和甜蜜，在重要的日子里，我们会选择用它来传递期望和祝福。相传，点着蜡烛的生日蛋糕具有神奇的力量，能为我们带来好运驱除恶魔。心中默许的愿望，在吹灭所有蜡烛后就一定能够实现。 在原有的基础上，2010年投入了外送服务，现遍布多个城市爱客多不仅完善了产品质量，更体现一条龙服务，你只需一个电话，我们就会把蛋糕优质的送到您的手中。在日益竞争的市场中爱客多真正做到了严把质量关。真诚的服务，永恒的目标，是爱客多不懈的追求，公司以质量求生存，以诚信谋发展.在未来的的日子里我们坚持做到更好，敬请期待.....,
潮香阁,粤菜,0,南海,九江,22.83991,113.01315,南海区下北大道大正路交叉口旁（嘉裕豪庭对面）,3人餐100元，5-6人餐188元;,周一至周日 18:00-03:30,0757-81867646,0,潮汕正宗砂锅粥 潮汕小炒 潮汕牛肉丸 潮汕卤水 潮汕冰鲜,
富逸雅士(梅圳店),西式甜品,0,南海,九江,22.856405,113.003104,南海区上北新路,118元蛋糕2选1;,,0757-86510381,0,,
爱客多面包店(狮山店),蛋糕,0,南海,狮山,23.124453,113.010168,南海区狮城路1号,78元蛋糕9选1，88元蛋糕3选1，98元蛋糕9选1，108元蛋糕3选1，冰激凌蛋糕128元，冰激凌蛋糕168元;,,15302316553,0,爱客多蛋糕店创始人吕生是位蛋糕专业师傅，曾经在北京服务多家高级西饼，制作蛋糕方面一直都是精益求精，制作出来的蛋糕总是那么的精美，味道更是让人回味无穷。蛋糕代表着幸福和甜蜜，在重要的日子里，我们会选择用它来传递期望和祝福。相传，点着蜡烛的生日蛋糕具有神奇的力量，能为我们带来好运驱除恶魔。心中默许的愿望，在吹灭所有蜡烛后就一定能够实现。 在原有的基础上，2010年投入了外送服务，现遍布多个城市爱客多不仅完善了产品质量，更体现一条龙服务，你只需一个电话，我们就会把蛋糕优质的送到您的手中。在日益竞争的市场中爱客多真正做到了严把质量关。真诚的服务，永恒的目标，是爱客多不懈的追求，公司以质量求生存，以诚信谋发展.在未来的的日子里我们坚持做到更好，敬请期待.....,
东方艺术蛋糕,蛋糕,3.5,禅城,季华六路/湖景路,22.987922,113.13591,禅城区黎明二路怡景丽苑内,108元蛋糕4选1;,周一至周日 06:30-22:00,0757-83920059,0,,
普利欧蛋糕店(张槎店),蛋糕,4,禅城,张槎,23.041014,113.101138,禅城区佛山大道23号首层（两层6号店铺）,68.8元蛋糕11选1，8英寸蛋糕68.8元起，8英寸蛋糕68.8元起，欧式水果蛋糕78.8元，79.7元蛋糕9选1，79.9元蛋糕7选1，八英寸方形水果蛋糕【四公里内免费配送】多款任选85元，八英寸汽车总动员蛋糕【三公里内免费配送】85元，85.8元蛋糕9选1，86.9元蛋糕3选1，八英寸创意迷糊娃娃蛋糕【三公里内免费配送】88元，八英寸黑森林蛋糕【三公里内免费配送】88.6元，88.9元蛋糕4...;,周一至周日 08:00-20:00,18566869830,2,,"卡布基诺,榴莲慕斯,草莓起司,法式乳酪,意式巧克力,柳橙慕斯,安格拉斯,樱桃乳酪慕斯,芝士巧克力,芒果慕斯,抹茶起士,五拼慕斯蛋糕,普利欧五拼慕斯"
冧茶(北滘跃进中路店),奶茶/果汁,3.5,顺德,北滘,22.927245,113.206017,顺德区北滘镇北滘居委会跃进中路南三巷4号三幢首层,7.9元店长推荐;26代30元;,周一至周日 11:30-21:00,0757-26601124,2,,
万芙莉蛋糕作坊,蛋糕,0,南海,南海区,23.089744,113.178975,南海区佳华商场北门,68元蛋糕6选1，98元蛋糕13选1，98元蛋糕4选1;,周一至周日 全天,18620727727,2,,
园雅面包西饼店,蛋糕,3,三水,三水区,23.175914,112.867801,三水区西南广海大道西南门路口自编A1铺位（日美酒店）,每满10减1.2（买单立享）;彩虹蛋糕78元，芭比娃娃78.8元，125元双层水果蛋糕;,周一至周日 07:00-22:00,15099875905/13690770996,2,,
澳得萨蛋糕店,蛋糕,0,,大沥,23.121627,113.114231,大沥大沥镇沥西大范圩4号,"6英寸欧式水果蛋糕（卡通蛋糕）免费赠送蜡烛、盘叉生日帽48元，8英寸蛋糕69元起，欧式水果蛋糕77.9元，8英寸欧式水果生日蛋糕→率先推出蛋糕店免费送货贴心服务,同城4公里可免费配送到家78.8元，8英寸方形欧式水果生日蛋糕→率先推出蛋糕店免费送货贴心服务的理念,同城4公里可免费送到家79.7元，8英寸小汽生日蛋糕→率先推出蛋糕店免费送货贴心服务的理念,同城4公里可免费配送到家79.9元，8英寸黑...;",,18138393772,2,,
胡须仔猫主题餐厅,西餐,3.5,禅城,祖庙,23.03264,113.11731,禅城区福贤路旺角潮人坊二楼2088室,45元香菇滑鸡套餐，48元肉酱意粉套餐，50元法式牛肉披萨套餐;,周一至周日 12:00-21:30,18028695037,2,,
榴芒冰,奶茶/果汁,0,顺德,容桂,22.775549,113.275665,顺德区凤翔南路宏骏广场24号,15元XQ车仔面+港式奶茶+鱼蛋，32元棉棉冰情侣套餐;,周一至周日 11:30-23:00,18924860512,2,,
鹅掌厨老鹅汤馆,汤类,0,禅城,张槎,23.036626,113.086622,禅城区张槎三路张槎村委会张槎村A块地4商铺（德鹏大厦旁）,单人餐48元，双人餐68元起，双人餐68元起，双人餐68元起，2-3人餐77.7元，3-4人餐98元，2-3人餐99.9元，3-5人餐111元，4-5人餐118元，3-4人餐168元，5-7人餐178元，5-7人餐198元，8-10人餐268元;,周一至周日 11:00-02:00,18825982599,2,,
相约湘食湘菜特色餐厅连锁店,湘菜,0,南海,南海区,23.138561,113.124632,南海区联江路229号,88代100元;,周一至周日 10:30-21:00,0757-85515920,2,,
金顺蛋糕店(普澜店),蛋糕,0,禅城,同济,23.02235,113.11744,禅城区普澜一街12号,12英寸蛋糕95元起，鲜忌廉水果夹心蛋糕98元，鲜果王蛋糕99元，13英寸蛋糕115元起，托马斯蛋糕118元，水果夹心蛋糕119元，提拉米苏蛋糕128元，黑森林蛋糕2139元，14英寸蛋糕168元起，黑森林蛋糕188元，美味三层水果蛋糕，新鲜果仁夹心蛋糕，多图选1，约7.5磅，约15英寸，圆，免预约222元，梦境成真支架蛋糕398元;,,15015865493/15015854239,2,,
美味可饮奶茶,其他美食,0,顺德,北滘,22.900942,113.199798,顺德区永一大塘中路3号,15元单人套餐2，15元套餐二，17元套餐3，20元单人套餐4，25元单人套餐5，31元双人套餐6，62元套餐11;,周一至周日 09:00-24:00,13878096971,2,,
澳得萨蛋糕店,蛋糕,4.1,南海,南海区,23.044782,113.135176,南海区桂城街道叠南社区乐庆村细沙地段自编K24号,68.8元蛋糕11选1，8英寸蛋糕68.8元起，八英寸卡通蛋糕69.9元，欧式水果蛋糕78.8元，79.7元蛋糕9选1，79.9元蛋糕7选1，八英寸方形水果蛋糕【四公里内免费配送】多款任选85元，8英寸小汽车蛋糕85元，85.8元蛋糕9选1，86.9元蛋糕3选1，八英寸创意迷糊娃娃蛋糕【三公里内免费配送】88元，10英寸蛋糕88元起，88.9元蛋糕4选1，迷糊娃娃1个8英寸88.9元，八英寸卡通蛋...;,,13632606151,2,,
明厨,私房菜,4,顺德,勒流,22.854582,113.140322,顺德区勒流街道大晩新田大巷9号,4-5人餐188元，4-5人餐188元，8人餐348元;,周一至周日 午市 09:30-14:00 晚市 17:30-21:00,13794610091,2,,
徽香缘,小龙虾,0,南海,南海区,23.111587,113.173546,南海区北村公路威尔斯商业广场对面,2-3人餐45元，2-4人餐108元，6-8人餐218元;,周一至周日 17:00-05:00,0757-81793350,2,,
郴州汝城同湘会,湘菜,0,南海,罗村,23.06803,113.069701,南海区狮山镇罗村沙坑沙基头1号二层南区1号商铺（佛山机场旁边）,4人餐115元起，6人餐189元，8人餐269元，10人餐330元;,周一至周日 10:00-20:00,0757-63822706/18675188538,2,,
纯味鸭脖(华远店),卤味,4.3,禅城,东建世纪广场,23.010443,113.116257,禅城区华远东路华远街34号6号铺,1.5元鸭翅;17代20元;,,15626193026,2,,
孝善诚食,湘菜,0,南海,里水,23.185537,113.194681,南海区里广路47号,1-2人餐58元，双人餐70元，4人餐118元;78代100元;,周一至周日 10:00-22:00,0757-85618129,2,,
甜缘蜜都甜品屋,甜点饮品,0,南海,罗村,23.05103,113.03484,南海区狮山镇罗村大道中2号1区长信银湾花园1层P164铺,12.8元甜品小吃;18代20元;,周一至周日 12:00-23:00,18825983864,2,,
456茶饮店,奶茶/果汁,3.5,禅城,张槎,23.037929,113.085632,禅城区张槎街道张槎村委会大楼围工业区1座首层8号铺之二,9元简餐，14元薯条可乐;,周一至周日 12:00-21:00,13650799806,2,,
正宗柳州螺蛳粉(汇丰店),螺蛳粉,4.4,三水,三水广场,23.177022,112.887586,三水区西南街道兴达路7号,每满35减3（买单立享）;14.8元正宗柳州螺蛳粉单人套餐，29.6元正宗柳州螺蛳粉双人餐;,周一至周日 10:30-03:00,13702705186,2,,
叹夏鲜,奶茶/果汁,0,三水,三水万达广场,23.177311,112.904195,三水区南丰大道13号万达金街内,12元老盐金桔柠檬，16元饮品2选1，39元双人下午茶套餐;,,15876123101,2,,
龙外带寿司,日式小吃,3.5,禅城,张槎,23.052034,113.104322,禅城区敦厚村西区北便坊126号（西区篮球场旁20米）,单人餐15元起，4-6人餐250元，5-7人餐250元;80代100元;,,15813661088,2,,
诚茶,奶茶/果汁,3.5,禅城,东建世纪广场,23.009642,113.115359,禅城区石湾镇街道华远村新巷西5号之二（好惠多生活超市）,15元鲜奶抹茶X藤椒鸡排，28.8元薯条双人套餐;,周一至周日 13:00-23:00,13516518656,2,,
桥园灵芝鸡(季华路石肯店),粤菜,3.5,南海,鹏瑞利季华广场,23.01249,113.163437,"南海区桂城街石肯季华东路村东7,8号（丽日广场对面）",4-5人餐165元，8-10人餐298元，8-10人餐498元，8-10人餐688元，8-10人餐688元;50代100元;,周一至周日 10:00-22:00,0757-86250076,2,,
正宗重庆纸上烤鱼,烤鱼,0,南海,南海区,23.184007,113.15245,南海区永新北大道,2-3人餐81元，2-3人餐87元，2-3人餐97元;85代100元;,,15826348348,2,,
聚友居农庄,农家菜,0,南海,里水,23.183651,113.175854,南海区里水镇流潮村流星村口2号（S82一环高速辅路旁边）,2-3人餐98元，4人餐102元;,周一至周日 11:00-14:00 17:00-21:00,13923219982,13,,
啡品咖啡茶馆(千灯湖店),咖啡厅,3.5,南海,千灯湖/保利水城,23.061905,113.146489,南海区桂城街道保利水城西街7栋02-03号铺位（停车场出口）,满100减2.5，9.8折（买单立享）;单人餐9.9元起，19.9元咖啡;450代500元;,周一至周日 14:00-24:00,0757-86086581/19924112218,4,,
新竹苑农庄,农家菜,3.5,顺德,杏坛,22.777073,113.182969,顺德区二环路科技园对面,9.8折（买单立享）;双人餐63元，4人餐118元，6-8人餐268元;,周一至周日 09:00-21:00,0757-27389944,2,,
老四川柴火鸡咕噜鱼烤活鱼,烤鱼,0,南海,罗村,23.06895,113.090661,南海区罗村机场路联合乡公交站旁200米,双人餐68元，3-4人餐108元，4-6人餐168元;,周一至周日 11:00-02:00,13268006786,5,,
八度坊(塘头店),奶茶/果汁,4,禅城,石湾,22.993528,113.100824,禅城区塘头市场C区3-4号,9.5折（买单立享）;11元美团单人大鸡排套餐，16元美团单人套餐，34元美团双人套餐;7.9代10元;,周一至周日 10:30-23:30  非营业时段 2018-02-12至2018-02-18 全天,13556552255,8,,
哈哈镜,熟食,0,南海,鸿大广场,23.060265,113.133783,南海区桂城街道叠北社区潭头村58号首层,44.9代50元;,,18565483882,4,,
康麦斯蛋糕(永安店),蛋糕,0,南海,狮山,23.091627,112.980295,南海区狮山镇永安路祥景苑A座7号铺（广泰超市对面）,四季慕斯98元，榴芒之恋98元，榛果森林98元，盛满榴莲118元，榴莲雪地148元，芒果盛宴158元，芒果花园168元，层层鲜果168元，方砖芒芒168元，胖胖小兔168元，芒果千层168元，罗马之城168元，冰雪草莓168元，欢乐果园168元，寿与天齐188元，榴莲千层188元;,周一至周日 05:30-23:00  非营业时段 2018-02-15至2018-02-20 全天,0757-86654118,48,,
星果茶(大良雅居乐店),奶茶/果汁,3.5,顺德,大良,22.82054,113.253616,顺德区大良街道延年路顺徳雅居乐236号商铺（雅居乐都荟广场）,45代50元;,周一至周日 10:00-23:00,0757-22817836/13652909368,3,,
洲记顺发,牛肉火锅,3.5,南海,南海区,23.094494,113.206636,南海区穗盐东路5号碧翠苑A17号铺,90代100元;,周一至周日 10:30-22:30,0757-85706589,7,,
洪记私厨,粤菜,0,顺德,北滘,22.934653,113.200072,顺德区东兴路美的翰城花园商业街41铺,2-3人餐110元，5-6人餐238元;90代100元;,周一至周日 09:30-14:00 16:30-02:00,0757-22391894,8,,
重庆霸道烤活鱼石锅鱼,重庆火锅,0,顺德,龙江,22.891399,113.04286,顺德区九江镇英明村口（金牌人才市场旁边）,2-3人餐48元，3-4人餐88元;,周一至周日 晚市 17:00-02:00,15815782218,18,,
麦思堡(乐安店),汉堡,4,南海,南海区,23.056462,113.100185,南海区广佛公路283号（联星大道好万家购物广场大门左侧）,10.8元A单人餐，13.5元汉堡+辣翅+可乐，21元A烤鸡双人餐，30.8元豪华双人餐，52元缤纷全家桶;8.8代10元;,周一至周日 10:00-02:00,0757-81802420,255,,
签尚佰味串串香,串串香,0,禅城,同济,23.017121,113.107967,禅城区汾江中路197号之六,68代100元，88代100元;,周一至周日 10:00-22:00,13927230230,2,,
冒蜀黍潮流冒菜馆,冒菜,0,顺德,大良,22.819982,113.252075,顺德区大良逸峻闲庭公馆原著6栋3号铺,60元招牌套餐;45代50元;,,13600328204,2,,
乐享时光(文华路店),蛋糕,0,高明,荷城,22.892936,112.896395,高明区文华路君悦酒店西行50米,59元蛋糕2选1，粉红猪创意蛋糕68元，69元蛋糕3选1，78元蛋糕2选1，78元蛋糕2选1，79元蛋糕2选1，88元蛋糕4选1，88元蛋糕2选1，88元蛋糕2选1，浪漫相约芒果蛋糕88元，冰雪奇缘创意蛋糕98元，108元蛋糕3选1，喜庆蛋糕2388元;,周一至周日 06:00-23:00,13928530816,2,,
玛丽莲甜品店,甜点饮品,0,三水,三水区,23.165852,112.901985,三水区西南街康乐路112号41档,13.8元经典组合单人套餐，18元榴莲班戟两个，35.8元披萨套餐;,,18218052295,2,,
重庆老火锅(村尾店),重庆火锅,3.5,禅城,张槎,23.027509,113.056144,禅城区张槎一路金德丽广场1005号（公交站牌旁）,双人餐118元，4人餐218元;,周一至周日 10:00-14:00 16:00-02:00,0757-82100016,2,,
谢记水鱼鸡锅,汤锅,0,禅城,澜石,22.992579,113.101278,禅城区佛山大道南塘头商贸城前排2号楼9号,3人餐128元，6-7人餐248元;78代100元;,周一至周日 10:00-00:00,18078804940,2,,
瑶三湘菜馆,湘菜,0,南海,南海区,23.028467,113.183441,南海区桂平路桂平美食城内,2-3人餐88元，4-5人餐138元，6-8人餐218元;,,18098173056,2,,
佛山君御温德姆至尊酒店·星月吧,其他美食,0,高明,高明区,22.945173,112.862418,高明区荷城街道沿江中路662号君御温德姆至尊酒店一楼大堂,45元星月吧咖啡，58元大堂吧甜品套餐，水果蛋糕88元，蓝莓白巧克蛋糕98元，128元巧克力下午茶，芝士蛋糕128元;,周一至周日 下午茶 14:00-17:00,0757-88808888,2,,
君尊比萨,披萨,3.5,顺德,北滘,22.948081,113.282971,顺德区北滘镇三桂村委会三桂大道38号香堤荔园44号铺,单人餐39元，双人餐58元;,,13719124616,2,,
湘香味,湘菜,0,禅城,东方广场,23.037239,113.123147,禅城区文龙街食街18号东方广场对面,9.8元快餐单人餐，13.8元高级快餐单人餐，22.8元快餐单人餐，3-4人餐138元;88代100元;,周一至周日 11:00-21:00,13018533628,2,,
醉香园,其他美食,0,南海,平洲,23.018867,113.2033,南海区桂城平洲平南小学旁,9.9元单人牛杂套餐，26.8元牛杂双人餐，4-5人餐138元;,,13790072814,2,,
佛山君御温德姆至尊酒店·君御轩中餐厅,粤菜,3.5,高明,荷城,22.94513,112.862373,高明区荷城街道沿江中路662号（君御温德姆至尊酒店内）,3人餐328元，6人餐698元，10人餐1288元;,周一至周日 08:00-14:30 17:30-21:30,0757-88808888-6932,2,,
东北特色家常菜,家常菜,0,禅城,张槎,23.02245,113.09426,禅城区弼唐北邨3号,8.8元超值单人餐，8.8元超值单人餐，41.8元超值2-3人餐，68.8元4人餐;,,15898268701,2,,
东北菜饺子馆,东北菜,0,禅城,创意产业园,23.013124,113.098404,禅城区弼塘东二街20号（创意产业园东北门）,85代100元;,周一至周日 11:00-21:00,13211148866,2,,
幸美蛋糕店,蛋糕,0,三水,西南,23.162258,112.897964,三水区西南街道月桂二路21号商铺1,红丝绒蛋糕68元，8英寸蛋糕78元起，8英寸蛋糕78元起，小猪佩奇86元，榴芒双拼慕斯88元，鲜水果蛋糕88元，草莓黑森林88元，水果蛋糕598元，芒果千层98元，慕斯蛋糕110.4元，水果蛋糕2116元，水果蛋糕3116元，水果蛋糕118元，慕斯蛋糕119元，玫瑰花蛋糕128元，双层水果蛋糕158元;,周一至周日 08:00-23:30,18319182501,2,,
虾王0728,小龙虾,0,南海,平洲,23.028047,113.183796,南海区桂平路,2-3人餐138元，2-3人餐168元，6-7人餐298元;79.9代100元;,,18675381211,2,,
周围香蛋糕坊,蛋糕,0,三水,三水区,23.079108,112.853955,三水区南白坭镇三水大道南边新村22号,78元蛋糕4选1，88元蛋糕4选1，88元蛋糕4选1，98元蛋糕4选1，128元蛋糕5选1，168元蛋糕5选1，198元蛋糕4选1;,周一至周日 08:00-23:30,13413221760,2,,
零下八度蛋糕坊(九江店),蛋糕,0,南海,九江,22.834904,113.017169,南海区大正路南13号（冰城饺子馆旁）,6英寸蛋糕98元起，欧式水果乳脂蛋糕（6寸）118元，玫瑰花情人节蛋糕（2磅）128元，布朗熊可尼兔儿童蛋糕（6寸）128元，8英寸蛋糕168元起，玫瑰花情人节蛋糕（3磅）168元，布朗熊可尼兔儿童蛋糕（8寸）188元，238元蛋糕4选1，268元蛋糕3选1;,周一至周日 08:00-00:00,15899580389,2,,
程记北方饺子馆,饺子,0,南海,平洲,23.031187,113.207364,南海区桂城街道平洲永安路康乐街3号（湘江木桶饭隔壁）,每满25减2（买单立享）;单人餐10元起，17元东北酱骨头混沌套餐，56元麻辣小龙虾小份;2代5元;,周一至周日 08:00-14:00 16:00-22:00,13700023324,2,,
凤凰农庄,农家菜,0,南海,南海区,23.171901,112.978307,南海区银狮路狮山盈信综合市场旁,3-4人餐98元，3-4人餐98元，4-5人餐148元，4-5人餐168元;5代10元;,周一至周日 10:00-14:00 17:00-22:30,13652280026,2,,
刘福记桂林米粉(依云公馆店),米粉,0,南海,九江,22.84315,113.012464,南海区九江镇大正路依云公馆,1元刘福记卤粉招牌，8.8元尊享美味，12.8元豪华美味;,周一至周日 早午餐 06:00-23:30 早午餐 06:00-23:00,18676129936,2,,
金鹏蛋糕屋(南门店),蛋糕,3.9,南海,官窑,23.228403,113.080817,南海区窑镇官窑大道南门铺位5号,美味芒果蛋糕68元，巧克力榛子蛋糕78元;,周一至周日 06:00-22:30,0757-85891608,2,金鹏蛋糕连锁创建于996年，先后于广州，三水，佛山，南海等地设立直属经营店，深受广大消费者好评。于2008年在**批QS认证中通过获取了全国工业产品生产许可证。金鹏蛋糕屋是一间集糕点，面包，月饼等食品加工为一体的实业公司以新鲜、健康的食品，温馨、优雅的购物环境，和热情、周到的服务，多年来始终如一服务于广大消费者，赢得了大家的厚爱和赞誉。,巧克力榛子蛋糕
金鹏蛋糕屋,蛋糕,3.9,南海,南海区,23.258482,113.134072,南海区和顺镇金华西路52号,美味芒果蛋糕68元，巧克力榛子蛋糕78元;,周一至周日 05:30-20:30,0757-85108326,2,金鹏蛋糕连锁创建于996年，先后于广州，三水，佛山，南海等地设立直属经营店，深受广大消费者好评。于2008年在**批QS认证中通过获取了全国工业产品生产许可证。金鹏蛋糕屋是一间集糕点，面包，月饼等食品加工为一体的实业公司以新鲜、健康的食品，温馨、优雅的购物环境，和热情、周到的服务，多年来始终如一服务于广大消费者，赢得了大家的厚爱和赞誉。,巧克力榛子蛋糕
巴蜀居川菜馆,川菜,0,禅城,张槎,23.037348,113.088758,禅城区张槎三路北排4-5号铺（张槎中学侧）,88代100元;,周一至周日 09:30-13:30 17:00-22:00,0757-82510185/13695196488,2,,
美滋园小食,小吃快餐,0,顺德,容桂,22.773424,113.266834,顺德区工业路文东街文化宫第五商铺,18.8元休闲双人餐;,周一至周日 10:00-18:00,13724663847,2,,"炸鸡亦,薯条,星星鸡块,鸡扒,原味鸡块,南瓜饼"
聚友居,沙茶面,3.5,禅城,禅城区,23.025097,113.129124,禅城区下石大街与文华北路交叉口南150米,满100减12（买单立享）;3-4人餐118元，5-6人餐138元;,,13925924889,2,,"水库鱼,冬瓜薏米排骨粥水锅底,白贝,清远鸡,金针菇,淮山,青菜"
婉明水果档,水果,0,三水,西南,23.15642,112.88205,三水区西南镇中山西路（云秀水果批发市场）,单人餐49元;,周一至周日 01:00-22:00,13760979293,2,,黄心奇异果
肥彭煲餐厅,其他地方菜,3.5,三水,三水新动力广场,23.171956,112.861718,三水区西青大道时代城二期南区23座106室（建设银行转弯直走）,2-3人餐68元;,,13620160636,2,,"连州腊鸭,杂菜"
彬记鱼生,粤菜,0,顺德,北滘,22.919583,113.257666,顺德区北滘镇桃村工业区桃源大道2号农商银行旁边,双人餐65元;,,15976627616/13702266589,2,,
yan店,其他美食,0,高明,广播电视大学,22.89362,112.88417,高明区石榴巷京柏城对面,8.8折（买单立享）;13元鸡脚套餐，45元傣家红糖;16代20元;,周一至周日 10:00-22:00,13533638193,2,,云南西双版纳傣族红糖
冰雪童话,冰淇淋,0,,南庄,23.006051,113.036537,南庄禅港路绿岛湖行政服务中心后面1座P23号商铺,13.8元超级单人套餐;,周一至周日 09:00-21:00,13923209659,2,,
乐途面馆,粤菜,0,南海,南海区,23.156043,113.092275,南海区松岗石碣工业大道西侧康汇商厦36号铺,9.8元精品单人餐;,05:00-02:30,13679755961,2,"主要经营：生滚粥  牛腩粉  竹升面  现炒碟头饭     广式茶点    石磨肠粉    等等特色美食

《乐途面馆》舍不得，放不下的滋味！不来一次系你的错，只来一次系我的错！！！","红烧鱼块饭,蜜汁叉烧饭,番茄滑蛋饭"
时光荏苒(黎冲店),奶茶/果汁,0,禅城,澜石,22.986138,113.111993,禅城区澜石黎冲街村看鹅巷24号首层之一（经营场所须经审批机关审批）,43代50元;,周一至周日 10:00-00:00,0757-82728840/18566383911,2,,
九门寨石锅鱼,鱼火锅,0,南海,南海区,22.869485,112.958816,南海区九江镇烟南市场创跃网咖对面,9.5折，每满200减15（买单立享）;双人餐78元;,周一至周日 夜宵 18:30-02:00,13425668978,2,,
喫茶时光,饮品店,0,南海,南海区,23.141459,113.16521,南海区里水南路110号仟悦荟首层A-9铺喫茶时光,9.7折（买单立享）;20元丝袜奶茶+原味鸡蛋仔;,,18929942745,2,,
厕所串串(联和店),串串香,3.5,南海,罗村,23.070236,113.08337,南海区狮山镇罗村联和工业区西区五路一座5号铺,18元单人套餐，38元双人套餐，58元双人豪华套餐;88代100元;,周一至周日 11:00-14:00 17:00-22:00,13798600885,2,,
小哥麻辣烫,麻辣烫,0,禅城,禅城区,23.024271,113.051338,禅城区张槎街道大富村商业街1号A4号（银座旁）,17.8代20元;,周一至周日 10:00-23:00,18689254615,2,,
膳玉贡茶,奶茶/果汁,4.5,,大沥,23.10582,113.124797,大沥水头路14号首层第2627号铺,4.8元特色饮品，8.8元奶盖系列，12.8元小吃单人餐;,周一至周日 08:00-18:00  非营业时段 2018-02-16至2018-02-17 全天,15816072866,55,,
HECHA禾茶(盐步店),奶茶/果汁,0,南海,南海区,23.093932,113.204768,南海区穗盐路大沥镇盐步嘉荟广场首层1-A4区2号铺,6.8元店长推介10选1;,周一至周日 11:00-22:30,0757-85763034,2,,
周家嫲嫲麻辣烫(北滘店),麻辣烫,5,顺德,北滘,22.9215,113.205698,顺德区北滘镇跃进南路1号原文化广场首层16号铺,满25减3（买单立享）;22代25元;,,0757-26606282,2,,
贡巢冰分,饮品店,3.5,禅城,东方广场,23.035322,113.122393,禅城区东方广场锦华路锦隆花园首层P22号,满100减2（买单立享）;,,18928648100,2,,"拿铁,蓝莓香槟,秘制鸡翅"
七天优品,超市/便利店,3.5,顺德,乐从,22.959568,113.081518,顺德区新马路中国建设银行旁,9.5折（买单立享）;,9:00-22:00,13326766886/15602855219,2,,"香港麦芽糖味沙琪玛,台湾法式爆米花"
潮汕新鲜牛肉,中式烧烤,0,南海,里水,23.188937,113.197209,南海区里水草场大道1号第十门店（啟明工业区公交站）,,周一至周日 12:00-02:00,13435991877,2,,
肯德基(三水广场店),快餐,4,三水,三水广场,23.171358,112.893686,三水区佛山市三水区西南镇张边路9号（原张边路13区）三水广场二座首层第1142-1144号铺,31.9元Y9单人餐B，33.7元Y8单人餐A，42.7元Y11小食套餐，50.4元Y10 双人餐;19代20元;,周一至周日 全天,0757-87709913,1,"肯德基自1987年在北京前门开出中国**家餐厅以来，来到中国已经超过20年了。20多年来，中国肯德基一直秉承""立足中国、融入生活""的总策略，坚持""立足中国、创新无限""的""新快餐""品牌理念，努力探索，把最贴心的服务和最美味、安全的产品带给广大中国消费者。截至2013年8月底，肯德基已在中国900多个城市和乡镇开设了近4500家连锁餐厅，遍及中国大陆除西藏以外的所有省、自治区和直辖市，是中国目前规模**、发展最快的快餐连锁品牌。2010年，肯德基更推出全新品牌口号""生活如此多娇"" 。","烤鸡翅,葡挞,薯条,鸡米花,黄玉脆皮鸡,香辣鸡腿堡,新奥尔良烤鸡腿堡,川辣嫩牛卷,老北京鸡肉卷,葡式蛋挞,圣代,上校鸡块,营养早餐套餐,吮指原味鸡"
平胜生龙私房菜,私房菜,3.5,南海,南海区,22.997367,113.179444,南海区桂城街道平洲平胜生龙村篮球场旁,3-4人餐168元，5-6人餐168元，7-8人餐238元;,,0757-86772842/18138482842,1,,"清汤牛腩,秋茄,烧排骨,椰青锅底,农家竹丝鸡,鸡肾,猪肉丸,鱼丸,佛手瓜,马蹄,冬瓜,石燕,青头鸭,排骨段,鸭血,木瓜拼红萝卜,正宗农家鸡,炸支竹,肉丸,乳鸽,杂菜,清补凉锅底,羊肉,纸巾,米饭,茶位,支竹,红萝卜,淮山,白萝卜"
龙凤饼屋(政和店),蛋糕,5,顺德,勒流,22.858946,113.122142,顺德区勒流政和北路19号（近万里来大酒店）,水果缤纷38元，海盐脆脆卷88元;,周一至周日 06:00-22:30,0757-25525272,1,,克贝斯
鸿泰餐厅,顺德菜,0,顺德,龙江,22.879662,113.043883,顺德区华宝四路龙江仙塘商业街（近村委）,2-3人餐68元，6-8人餐168元，3-4人餐168元，5-8人餐188元，6-8人餐188元，4-6人餐238元;,周一至周日 18:00-02:00,13620310278,1,,
